codUsuario,numPartida,fecha,colision,observacion
001,1,2024-09-30,"Colision en x=70, y=338",(1|2)
001,1,2024-09-30,"Colision en x=69, y=328",(1|2)
001,1,2024-09-30,"Colision en x=69, y=328",(2|1)
001,1,2024-09-30,"Colision en x=69, y=328",(2|3)
001,1,2024-09-30,"Colision en x=69, y=328",(2|3)
001,1,2024-09-30,"Colision en x=61, y=25",(1|1)
001,1,2024-09-30,"Colision en x=60, y=24",(1|1)
001,1,2024-09-30,"Colision en x=59, y=23",(1|1)
001,1,2024-09-30,"Colision en x=58, y=22",(1|1)
001,1,2024-09-30,"Colision en x=57, y=21",(1|1)
001,1,2024-09-30,"Colision en x=56, y=20",(1|1)
001,1,2024-09-30,"Colision en x=55, y=19",(1|1)
001,1,2024-09-30,"Colision en x=54, y=18",(1|1)
001,1,2024-09-30,"Colision en x=53, y=17",(1|1)
001,1,2024-09-30,"Colision en x=52, y=16",(1|1)
001,1,2024-09-30,"Colision en x=51, y=15",(1|1)
001,1,2024-09-30,"Colision en x=50, y=14",(1|1)
001,1,2024-09-30,"Colision en x=49, y=13",(1|1)
001,1,2024-09-30,"Colision en x=48, y=12",(1|1)
001,1,2024-09-30,"Colision en x=47, y=11",(1|1)
001,1,2024-09-30,"Colision en x=46, y=10",(1|1)
001,1,2024-09-30,"Colision en x=45, y=9",(1|1)
001,1,2024-09-30,"Colision en x=44, y=8",(1|1)
001,1,2024-09-30,"Colision en x=43, y=7",(1|1)
001,1,2024-09-30,"Colision en x=42, y=6",(1|1)
001,1,2024-09-30,"Colision en x=41, y=5",(1|1)
001,1,2024-09-30,"Colision en x=40, y=4",(1|1)
001,1,2024-09-30,"Colision en x=39, y=3",(1|1)
001,1,2024-09-30,"Colision en x=38, y=2",(1|1)
001,1,2024-09-30,"Colision en x=37, y=2",(1|1)
001,1,2024-09-30,"Colision en x=36, y=1",(1|1)
001,1,2024-09-30,"Colision en x=35, y=1",(1|1)
001,1,2024-09-30,"Colision en x=34, y=1",(1|1)
001,1,2024-09-30,"Colision en x=33, y=1",(1|1)
001,1,2024-09-30,"Colision en x=32, y=1",(1|1)
001,1,2024-09-30,"Colision en x=56, y=189",(1|2)
001,1,2024-09-30,"Colision en x=55, y=179",(1|2)
001,1,2024-09-30,"Colision en x=54, y=169",(1|2)
001,1,2024-09-30,"Colision en x=53, y=159",(1|2)
001,1,2024-09-30,"Colision en x=52, y=149",(1|2)
001,1,2024-09-30,"Colision en x=51, y=139",(1|2)
001,1,2024-09-30,"Colision en x=50, y=129",(1|2)
001,1,2024-09-30,"Colision en x=49, y=119",(1|2)
001,1,2024-09-30,"Colision en x=48, y=109",(1|2)
001,1,2024-09-30,"Colision en x=47, y=99",(1|2)
001,1,2024-09-30,"Colision en x=46, y=89",(1|2)
001,1,2024-09-30,"Colision en x=45, y=79",(1|2)
001,1,2024-09-30,"Colision en x=44, y=69",(1|2)
001,1,2024-09-30,"Colision en x=43, y=59",(1|2)
001,1,2024-09-30,"Colision en x=42, y=49",(1|2)
001,1,2024-09-30,"Colision en x=41, y=39",(1|2)
001,1,2024-09-30,"Colision en x=40, y=29",(1|2)
001,1,2024-09-30,"Colision en x=39, y=28",(1|2)
001,1,2024-09-30,"Colision en x=38, y=27",(1|2)
001,1,2024-09-30,"Colision en x=37, y=26",(1|2)
001,1,2024-09-30,"Colision en x=36, y=25",(1|2)
001,1,2024-09-30,"Colision en x=35, y=24",(1|2)
001,1,2024-09-30,"Colision en x=34, y=23",(1|2)
001,1,2024-09-30,"Colision en x=33, y=22",(1|2)
001,1,2024-09-30,"Colision en x=33, y=22",(2|1)
001,1,2024-09-30,"Colision en x=63, y=2",(1|2)
001,1,2024-09-30,"Colision en x=62, y=2",(1|2)
001,1,2024-09-30,"Colision en x=61, y=2",(1|2)
001,1,2024-09-30,"Colision en x=60, y=2",(1|2)
001,1,2024-09-30,"Colision en x=59, y=2",(1|2)
001,1,2024-09-30,"Colision en x=58, y=2",(1|2)
001,1,2024-09-30,"Colision en x=57, y=2",(1|2)
001,1,2024-09-30,"Colision en x=56, y=2",(1|2)
001,1,2024-09-30,"Colision en x=55, y=2",(1|2)
001,1,2024-09-30,"Colision en x=54, y=2",(1|2)
001,1,2024-09-30,"Colision en x=53, y=2",(1|2)
001,1,2024-09-30,"Colision en x=52, y=2",(1|2)
001,1,2024-09-30,"Colision en x=71, y=2",(1|2)
001,1,2024-09-30,"Colision en x=71, y=2",(2|1)
001,1,2024-09-30,"Colision en x=71, y=2",(2|1)
001,1,2024-09-30,"Colision en x=65, y=2",(1|2)
001,1,2024-09-30,"Colision en x=63, y=2",(1|2)
001,1,2024-09-30,"Colision en x=62, y=2",(1|2)
001,1,2024-09-30,"Colision en x=61, y=2",(1|2)
001,1,2024-09-30,"Colision en x=60, y=2",(1|2)
001,1,2024-09-30,"Colision en x=59, y=2",(1|2)
001,1,2024-09-30,"Colision en x=58, y=2",(1|2)
001,1,2024-09-30,"Colision en x=57, y=2",(1|2)
001,1,2024-09-30,"Colision en x=68, y=518",(1|3)
001,1,2024-09-30,"Colision en x=67, y=508",(1|3)
001,1,2024-09-30,"Colision en x=66, y=498",(1|3)
001,1,2024-09-30,"Colision en x=65, y=488",(1|3)
001,1,2024-09-30,"Colision en x=64, y=478",(1|3)
001,1,2024-09-30,"Colision en x=63, y=468",(1|3)
001,1,2024-09-30,"Colision en x=62, y=458",(1|3)
001,1,2024-09-30,"Colision en x=61, y=448",(1|3)
001,1,2024-09-30,"Colision en x=60, y=438",(1|3)
001,1,2024-09-30,"Colision en x=59, y=428",(1|3)
001,1,2024-09-30,"Colision en x=58, y=418",(1|3)
001,1,2024-09-30,"Colision en x=57, y=408",(1|3)
001,1,2024-09-30,"Colision en x=56, y=398",(1|3)
001,1,2024-09-30,"Colision en x=55, y=388",(1|3)
001,1,2024-09-30,"Colision en x=39, y=363",(1|3)
